model,alpha,ACC_mean,ACC_std,DEO_mean,DEO_std,DAO_mean,DAO_std,n
Baseline (no debiasing),,0.7233333333333333,0.014874957741657363,0.08933333333333328,0.03699332030416354,0.07383333333333332,0.035347616935070846,30
Fixed Alpha (alpha=0.05),0.05,0.7253333333333333,0.018048466041101156,0.09666666666666661,0.04465062329821993,0.08041666666666661,0.02899229485431502,30
Fixed Alpha (alpha=0.1),0.1,0.7268333333333333,0.013030688798935874,0.08699999999999994,0.04360085415170925,0.06641666666666664,0.028464158749791538,30
Fixed Alpha (alpha=0.2),0.2,0.7260000000000001,0.016262925893598904,0.09799999999999993,0.04773490012197757,0.08149999999999995,0.0412498693832833,30
Fixed Alpha (alpha=0.3),0.3,0.722,0.01798466779960277,0.09083333333333328,0.05154648610608737,0.07749999999999996,0.04075790593923742,30
Fixed Alpha (alpha=0.470806),0.470806,0.7201666666666667,0.01632025044883333,0.09199999999999993,0.04545934143977375,0.09016666666666664,0.037196665899284415,30
Fixed Alpha (alpha=0.7),0.7,0.7253333333333333,0.0176133439487643,0.0911666666666666,0.04983910895681419,0.07433333333333329,0.03583326650621944,30
Fixed Alpha (alpha=1),1.0,0.7285,0.0174765853210162,0.07416666666666662,0.03744152529067096,0.06666666666666662,0.02773281802129563,30
Fixed Alpha (alpha=1.5),1.5,0.7231666666666666,0.01600017959669318,0.07033333333333328,0.043150365270626684,0.06349999999999995,0.034526351755104996,30
"Dynamic Alpha (adaptive, German-tuned)",,0.7264999999999998,0.015321272117887119,0.08349999999999992,0.048265608517009735,0.07549999999999993,0.039262599559096084,30
