_step,epoch,ACC,DEO,DAO,run_id,name,group,seed,alpha_fixed
0,1,0.68,0.04499999999999993,0.03499999999999992,c2xwextw,baseline_german_gender_seed7,Baseline,7,
1,2,0.71,0.0050000000000000044,0.02749999999999997,c2xwextw,baseline_german_gender_seed7,Baseline,7,
2,3,0.72,0.0050000000000000044,0.027500000000000024,c2xwextw,baseline_german_gender_seed7,Baseline,7,
3,4,0.73,0.015000000000000013,0.03249999999999997,c2xwextw,baseline_german_gender_seed7,Baseline,7,
4,5,0.735,0.025000000000000022,0.0625,c2xwextw,baseline_german_gender_seed7,Baseline,7,
5,6,0.745,0.03500000000000003,0.06750000000000006,c2xwextw,baseline_german_gender_seed7,Baseline,7,
6,7,0.73,0.04999999999999993,0.09999999999999998,c2xwextw,baseline_german_gender_seed7,Baseline,7,
7,8,0.725,0.025000000000000022,0.08750000000000002,c2xwextw,baseline_german_gender_seed7,Baseline,7,
8,9,0.73,0.025000000000000022,0.04999999999999999,c2xwextw,baseline_german_gender_seed7,Baseline,7,
9,10,0.745,0.025000000000000022,0.012500000000000011,c2xwextw,baseline_german_gender_seed7,Baseline,7,
10,11,0.735,0.040000000000000036,0.05750000000000005,c2xwextw,baseline_german_gender_seed7,Baseline,7,
11,12,0.73,0.08999999999999997,0.057499999999999996,c2xwextw,baseline_german_gender_seed7,Baseline,7,
12,13,0.74,0.07999999999999996,0.05249999999999999,c2xwextw,baseline_german_gender_seed7,Baseline,7,
13,14,0.74,0.09499999999999997,0.08499999999999999,c2xwextw,baseline_german_gender_seed7,Baseline,7,
14,15,0.74,0.09499999999999997,0.08499999999999999,c2xwextw,baseline_german_gender_seed7,Baseline,7,
15,16,0.74,0.09499999999999997,0.08499999999999999,c2xwextw,baseline_german_gender_seed7,Baseline,7,
16,17,0.735,0.08499999999999996,0.07999999999999999,c2xwextw,baseline_german_gender_seed7,Baseline,7,
17,18,0.73,0.07499999999999996,0.07499999999999998,c2xwextw,baseline_german_gender_seed7,Baseline,7,
18,19,0.73,0.07499999999999996,0.07499999999999998,c2xwextw,baseline_german_gender_seed7,Baseline,7,
19,20,0.735,0.07499999999999996,0.06249999999999997,c2xwextw,baseline_german_gender_seed7,Baseline,7,
20,21,0.73,0.06499999999999995,0.05749999999999997,c2xwextw,baseline_german_gender_seed7,Baseline,7,
21,22,0.74,0.015000000000000013,0.0325,c2xwextw,baseline_german_gender_seed7,Baseline,7,
22,23,0.735,0.0050000000000000044,0.027499999999999997,c2xwextw,baseline_german_gender_seed7,Baseline,7,
23,24,0.72,0.05499999999999994,0.02749999999999997,c2xwextw,baseline_german_gender_seed7,Baseline,7,
24,25,0.72,0.05499999999999994,0.02749999999999997,c2xwextw,baseline_german_gender_seed7,Baseline,7,
25,26,0.72,0.05499999999999994,0.02749999999999997,c2xwextw,baseline_german_gender_seed7,Baseline,7,
26,27,0.72,0.05499999999999994,0.02749999999999997,c2xwextw,baseline_german_gender_seed7,Baseline,7,
27,28,0.72,0.05499999999999994,0.02749999999999997,c2xwextw,baseline_german_gender_seed7,Baseline,7,
28,29,0.72,0.05499999999999994,0.02749999999999997,c2xwextw,baseline_german_gender_seed7,Baseline,7,
29,30,0.72,0.05499999999999994,0.02749999999999997,c2xwextw,baseline_german_gender_seed7,Baseline,7,
0,1,0.705,0.015000000000000013,0.044999999999999984,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
1,2,0.705,0.0050000000000000044,0.02749999999999997,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
2,3,0.7,0.04499999999999993,0.022499999999999964,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
3,4,0.695,0.02499999999999991,0.024999999999999967,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
4,5,0.705,0.04999999999999993,0.07499999999999996,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
5,6,0.715,0.05999999999999994,0.09249999999999997,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
6,7,0.715,0.08499999999999996,0.07999999999999996,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
7,8,0.71,0.135,0.1175,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
8,9,0.71,0.1499999999999999,0.07499999999999996,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
9,10,0.72,0.1399999999999999,0.10749999999999993,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
10,11,0.715,0.12,0.1225,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
11,12,0.72,0.14500000000000002,0.14749999999999996,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
12,13,0.72,0.135,0.13,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
13,14,0.715,0.125,0.125,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
14,15,0.715,0.11499999999999999,0.10749999999999998,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
15,16,0.71,0.14,0.12,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
16,17,0.725,0.14,0.08249999999999996,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
17,18,0.725,0.14,0.08249999999999996,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
18,19,0.73,0.14,0.07,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
19,20,0.72,0.12,0.06,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
20,21,0.71,0.10999999999999999,0.06749999999999995,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
21,22,0.715,0.08499999999999996,0.05499999999999994,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
22,23,0.725,0.09499999999999997,0.04749999999999999,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
23,24,0.73,0.10499999999999998,0.05249999999999999,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
24,25,0.725,0.09499999999999997,0.04749999999999999,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
25,26,0.725,0.09499999999999997,0.04749999999999999,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
26,27,0.725,0.09499999999999997,0.04749999999999999,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
