_step,epoch,ACC,DEO,DAO,run_id,name,group
0,1,0.8372581536760642,0.09579689779954625,0.09220579479007801,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
1,2,0.8432283029297954,0.12240839690649763,0.10232360665977525,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
2,3,0.84212271973466,0.10067529772036404,0.08939912109931912,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
3,4,0.8456605859590934,0.048968457612808325,0.05719897878390161,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
4,5,0.847208402432283,0.07620981468678811,0.07462905722971516,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
5,6,0.8465450525152017,0.15315596333026904,0.12893044599539838,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
6,7,0.8489773355444997,0.08236292715992544,0.0863482794740903,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
7,8,0.8463239358761747,0.07991547905947216,0.07611036952252434,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
8,9,0.845771144278607,0.10554020068474557,0.0925883234387023,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
9,10,0.8453289110005527,0.0697432728919628,0.0752154809316532,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
10,11,0.8436705362078496,0.06848355695790598,0.07011704399997548,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
11,12,0.844555002763958,0.052645628410793344,0.063352041651734,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
12,13,0.8446655610834716,0.06120119912959621,0.06290615836971025,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
13,14,0.8448866777224986,0.07967253384361828,0.08003115725693502,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
14,15,0.8468767274737424,0.08518079173146453,0.08130945576552576,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
15,16,0.8465450525152017,0.06506432799403739,0.06643681621321959,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
16,17,0.8463239358761747,0.07583789855387613,0.07250159341262682,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
17,18,0.8461028192371476,0.06293330853892443,0.075013832922975,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
18,19,0.8474295190713101,0.06082928299668422,0.062091859767281696,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
19,20,0.844776119402985,0.037665506428300355,0.05194813063936973,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
20,21,0.8463239358761747,0.0749081082215961,0.07563209613718672,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
21,22,0.8441127694859039,0.08493784651561076,0.08542884903399771,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
22,23,0.8437810945273632,0.06577966668516255,0.07074085951368887,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
23,24,0.8426755113322277,0.10044734912277276,0.0997751631371952,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
24,25,0.8446655610834716,0.11565541970285698,0.10028597444720427,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
25,26,0.8430071862907684,0.04909742852986654,0.0633550968272945,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
26,27,0.8451077943615257,0.09357889795851038,0.08312355705637828,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
27,28,0.8452183526810393,0.10111919762093646,0.09197691531808648,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
28,29,0.844555002763958,0.06103023768140281,0.0781524782544033,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
29,30,0.8448866777224986,0.08200450798344971,0.08208913826446237,25qbcrhy,fixed_alpha0.05_adult_gender_seed0,Fixed_0.05
0,1,0.8371475953565506,0.12246538405589535,0.09912138947810771,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
1,2,0.8435599778883361,0.11235016503778394,0.0903194279278062,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
2,3,0.8438916528468767,0.08884296591118701,0.0768588684613252,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
3,4,0.8452183526810393,0.0774545340025824,0.07166116634217592,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
4,5,0.8473189607517966,0.1055686942594446,0.08988718616850067,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
5,6,0.8486456605859591,0.1048248619936204,0.09126331759742322,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
6,7,0.845992260917634,0.07549447599566295,0.07247027255920295,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
7,8,0.8470978441127694,0.09818585908877542,0.08372007771832826,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
8,9,0.848424543946932,0.0838505916915736,0.08224859650213254,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
9,10,0.8493090105030403,0.1026353557272835,0.0827500555946045,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
10,11,0.8486456605859591,0.08313525300044844,0.08287024375674933,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
11,12,0.8470978441127694,0.09658422025833169,0.09189235654579361,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
12,13,0.8470978441127694,0.11904615509202682,0.0967577432856113,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
13,14,0.8478717523493643,0.11411076802181108,0.1001471364879174,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
14,15,0.8491984521835269,0.10585512966825983,0.09121688973201206,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
15,16,0.8463239358761747,0.11715808085276769,0.10271174099155325,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
16,17,0.8476506357103372,0.11395330353005406,0.10060942211544371,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
17,18,0.846987285793256,0.07982999833537541,0.0797006983302283,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
18,19,0.8485351022664456,0.11858875823501802,0.09952179338642382,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
19,20,0.8473189607517966,0.09402279785908274,0.08604034723488954,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
20,21,0.8486456605859591,0.07967253384361828,0.07812559181969128,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
21,22,0.8473189607517966,0.08978775286172969,0.08234427515425033,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
22,23,0.849640685461581,0.0749081082215961,0.07637513592425244,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
23,24,0.8482034273079049,0.08157560470113989,0.08148262290044854,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
24,25,0.8456605859590934,0.0882715947553826,0.08800484454122165,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
25,26,0.8480928689883914,0.06188804424602257,0.06369129603429766,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
26,27,0.8449972360420122,0.12970575135306983,0.11205193636346227,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
27,28,0.8454394693200663,0.08194752083405199,0.08167714469176779,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
28,29,0.8437810945273632,0.10418150707015572,0.1014847242354776,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
29,30,0.8453289110005527,0.06476439562878578,0.0746435878417713,b2apg6o7,fixed_alpha0.05_adult_gender_seed9,Fixed_0.05
0,1,0.8380320619126589,0.11584137776931303,0.10189245519481713,oak18146,fixed_alpha0.05_adult_gender_seed5,Fixed_0.05
1,2,0.84212271973466,0.06929937299139044,0.07554652895923471,oak18146,fixed_alpha0.05_adult_gender_seed5,Fixed_0.05
2,3,0.8438916528468767,0.06545124074521202,0.07543387285162215,oak18146,fixed_alpha0.05_adult_gender_seed5,Fixed_0.05
3,4,0.8461028192371476,0.05439123477655783,0.06229531918844676,oak18146,fixed_alpha0.05_adult_gender_seed5,Fixed_0.05
4,5,0.8462133775566612,0.07294805021467665,0.07554064469173893,oak18146,fixed_alpha0.05_adult_gender_seed5,Fixed_0.05
5,6,0.846987285793256,0.06543624412694937,0.06501511714352365,oak18146,fixed_alpha0.05_adult_gender_seed5,Fixed_0.05
6,7,0.8458817025981205,0.04526279324012439,0.05581696925812311,oak18146,fixed_alpha0.05_adult_gender_seed5,Fixed_0.05
7,8,0.8473189607517966,0.06761075377502368,0.062907601524583,oak18146,fixed_alpha0.05_adult_gender_seed5,Fixed_0.05
8,9,0.847208402432283,0.07416427595577202,0.07593817192376254,oak18146,fixed_alpha0.05_adult_gender_seed5,Fixed_0.05
9,10,0.8462133775566612,0.028423090593071243,0.046215779420756276,oak18146,fixed_alpha0.05_adult_gender_seed5,Fixed_0.05
10,11,0.847208402432283,0.07977301118597746,0.08367679381881452,oak18146,fixed_alpha0.05_adult_gender_seed5,Fixed_0.05
11,12,0.848424543946932,0.08466640772505807,0.08816944795128129,oak18146,fixed_alpha0.05_adult_gender_seed5,Fixed_0.05
12,13,0.8486456605859591,0.05886922498976477,0.06149191438221802,oak18146,fixed_alpha0.05_adult_gender_seed5,Fixed_0.05
13,14,0.8478717523493643,0.09171931729395022,0.08483895556880798,oak18146,fixed_alpha0.05_adult_gender_seed5,Fixed_0.05
